
The following have been reloaded with a version change:
  1) gcc/.11.3.0_cuda => gcc/11.3.0

[frame_0.zeroDeg.bin] Took 1.444224 ms.
[frame_1.zeroDeg.bin] Took 1.050592 ms.
[frame_2.zeroDeg.bin] Took 1.204224 ms.
[frame_3.zeroDeg.bin] Took 1.511968 ms.
[frame_4.zeroDeg.bin] Took 1.446112 ms.
[frame_5.zeroDeg.bin] Took 1.022624 ms.
[frame_6.zeroDeg.bin] Took 0.484320 ms.
[frame_7.zeroDeg.bin] Took 0.508480 ms.
[frame_8.zeroDeg.bin] Took 0.172192 ms.
[frame_9.zeroDeg.bin] Took 0.183680 ms.
[frame_10.zeroDeg.bin] Took 0.234592 ms.
[frame_11.zeroDeg.bin] Took 0.169984 ms.
[frame_12.zeroDeg.bin] Took 0.167584 ms.
[frame_13.zeroDeg.bin] Took 0.227680 ms.
[frame_14.zeroDeg.bin] Took 0.168736 ms.
[frame_15.zeroDeg.bin] Took 0.677760 ms.
[frame_16.zeroDeg.bin] Took 0.161280 ms.
[frame_17.zeroDeg.bin] Took 0.176768 ms.
[frame_18.zeroDeg.bin] Took 0.460384 ms.
[frame_19.zeroDeg.bin] Took 0.169760 ms.
[frame_20.zeroDeg.bin] Took 0.162112 ms.
[frame_21.zeroDeg.bin] Took 0.482688 ms.
[frame_22.zeroDeg.bin] Took 0.163744 ms.
[frame_23.zeroDeg.bin] Took 0.161248 ms.
[frame_24.zeroDeg.bin] Took 0.481472 ms.
[frame_25.zeroDeg.bin] Took 0.161696 ms.
[frame_26.zeroDeg.bin] Took 0.174848 ms.
[frame_27.zeroDeg.bin] Took 0.500288 ms.
[frame_28.zeroDeg.bin] Took 0.160832 ms.
[frame_29.zeroDeg.bin] Took 0.161664 ms.
[frame_30.zeroDeg.bin] Took 0.274112 ms.
[frame_31.zeroDeg.bin] Took 0.213216 ms.
[frame_32.zeroDeg.bin] Took 0.183968 ms.
[frame_33.zeroDeg.bin] Took 0.097728 ms.
[frame_34.zeroDeg.bin] Took 0.087296 ms.
[frame_35.zeroDeg.bin] Took 0.094720 ms.
[frame_36.zeroDeg.bin] Took 0.081952 ms.
[frame_37.zeroDeg.bin] Took 0.114144 ms.
[frame_38.zeroDeg.bin] Took 0.080128 ms.
[frame_39.zeroDeg.bin] Took 0.081632 ms.
[frame_40.zeroDeg.bin] Took 0.090112 ms.
[frame_41.zeroDeg.bin] Took 0.081024 ms.
[frame_42.zeroDeg.bin] Took 0.079808 ms.
[frame_43.zeroDeg.bin] Took 0.081856 ms.
[frame_44.zeroDeg.bin] Took 0.081984 ms.
[frame_45.zeroDeg.bin] Took 0.082272 ms.
[frame_46.zeroDeg.bin] Took 0.079872 ms.
[frame_47.zeroDeg.bin] Took 0.111040 ms.
[frame_48.zeroDeg.bin] Took 0.079904 ms.
[frame_49.zeroDeg.bin] Took 0.083968 ms.
[frame_50.zeroDeg.bin] Took 0.121952 ms.
[frame_51.zeroDeg.bin] Took 0.079872 ms.
[frame_52.zeroDeg.bin] Took 0.110592 ms.
[frame_53.zeroDeg.bin] Took 0.078016 ms.
[frame_54.zeroDeg.bin] Took 0.113472 ms.
[frame_55.zeroDeg.bin] Took 0.108544 ms.
[frame_56.zeroDeg.bin] Took 0.077920 ms.
[frame_57.zeroDeg.bin] Took 0.078240 ms.
[frame_58.zeroDeg.bin] Took 0.077952 ms.
[frame_59.zeroDeg.bin] Took 0.112480 ms.
[frame_60.zeroDeg.bin] Took 0.077984 ms.
[frame_61.zeroDeg.bin] Took 0.108960 ms.
[frame_62.zeroDeg.bin] Took 0.077824 ms.
[frame_63.zeroDeg.bin] Took 0.100288 ms.
[frame_64.zeroDeg.bin] Took 0.079296 ms.
[frame_65.zeroDeg.bin] Took 0.107072 ms.
[frame_66.zeroDeg.bin] Took 0.077952 ms.
[frame_67.zeroDeg.bin] Took 0.077248 ms.
[frame_68.zeroDeg.bin] Took 0.135168 ms.
[frame_69.zeroDeg.bin] Took 0.077824 ms.
[frame_70.zeroDeg.bin] Took 0.077216 ms.
[frame_71.zeroDeg.bin] Took 0.107392 ms.
[frame_72.zeroDeg.bin] Took 0.079072 ms.
[frame_73.zeroDeg.bin] Took 0.131712 ms.
[frame_74.zeroDeg.bin] Took 0.080288 ms.
[frame_75.zeroDeg.bin] Took 0.108800 ms.
[frame_76.zeroDeg.bin] Took 0.077824 ms.
[frame_77.zeroDeg.bin] Took 0.076576 ms.
[frame_78.zeroDeg.bin] Took 0.096928 ms.
[frame_79.zeroDeg.bin] Took 0.111040 ms.
[frame_80.zeroDeg.bin] Took 0.108512 ms.
[frame_81.zeroDeg.bin] Took 0.077952 ms.
