
The following have been reloaded with a version change:
  1) gcc/.11.3.0_cuda => gcc/11.3.0

Using UVM input data.
[frame_0.zeroDeg.bin] Took 1.747008 ms.
[frame_1.zeroDeg.bin] Took 1.021728 ms.
[frame_2.zeroDeg.bin] Took 1.214784 ms.
[frame_3.zeroDeg.bin] Took 1.282432 ms.
[frame_4.zeroDeg.bin] Took 1.210432 ms.
[frame_5.zeroDeg.bin] Took 1.403488 ms.
[frame_6.zeroDeg.bin] Took 1.003168 ms.
[frame_7.zeroDeg.bin] Took 1.259648 ms.
[frame_8.zeroDeg.bin] Took 1.488192 ms.
[frame_9.zeroDeg.bin] Took 0.324320 ms.
[frame_10.zeroDeg.bin] Took 0.190496 ms.
[frame_11.zeroDeg.bin] Took 0.206208 ms.
[frame_12.zeroDeg.bin] Took 0.204608 ms.
[frame_13.zeroDeg.bin] Took 0.190432 ms.
[frame_14.zeroDeg.bin] Took 0.733280 ms.
[frame_15.zeroDeg.bin] Took 0.188832 ms.
[frame_16.zeroDeg.bin] Took 0.187392 ms.
[frame_17.zeroDeg.bin] Took 0.345472 ms.
[frame_18.zeroDeg.bin] Took 0.189024 ms.
[frame_19.zeroDeg.bin] Took 0.186848 ms.
[frame_20.zeroDeg.bin] Took 0.346272 ms.
[frame_21.zeroDeg.bin] Took 0.186880 ms.
[frame_22.zeroDeg.bin] Took 0.184128 ms.
[frame_23.zeroDeg.bin] Took 0.346624 ms.
[frame_24.zeroDeg.bin] Took 0.235776 ms.
[frame_25.zeroDeg.bin] Took 0.223392 ms.
[frame_26.zeroDeg.bin] Took 0.329856 ms.
[frame_27.zeroDeg.bin] Took 0.105952 ms.
[frame_28.zeroDeg.bin] Took 0.118720 ms.
[frame_29.zeroDeg.bin] Took 0.104000 ms.
[frame_30.zeroDeg.bin] Took 0.113664 ms.
[frame_31.zeroDeg.bin] Took 0.102912 ms.
[frame_32.zeroDeg.bin] Took 0.112640 ms.
[frame_33.zeroDeg.bin] Took 0.104448 ms.
[frame_34.zeroDeg.bin] Took 0.103392 ms.
[frame_35.zeroDeg.bin] Took 0.104000 ms.
[frame_36.zeroDeg.bin] Took 0.103968 ms.
[frame_37.zeroDeg.bin] Took 0.102784 ms.
[frame_38.zeroDeg.bin] Took 0.100928 ms.
[frame_39.zeroDeg.bin] Took 0.102560 ms.
[frame_40.zeroDeg.bin] Took 0.101952 ms.
[frame_41.zeroDeg.bin] Took 0.102400 ms.
[frame_42.zeroDeg.bin] Took 0.102400 ms.
[frame_43.zeroDeg.bin] Took 0.102400 ms.
[frame_44.zeroDeg.bin] Took 0.102400 ms.
[frame_45.zeroDeg.bin] Took 0.103904 ms.
[frame_46.zeroDeg.bin] Took 0.103104 ms.
[frame_47.zeroDeg.bin] Took 0.102496 ms.
[frame_48.zeroDeg.bin] Took 0.102592 ms.
[frame_49.zeroDeg.bin] Took 0.111776 ms.
[frame_50.zeroDeg.bin] Took 0.103968 ms.
[frame_51.zeroDeg.bin] Took 0.102912 ms.
[frame_52.zeroDeg.bin] Took 0.102400 ms.
[frame_53.zeroDeg.bin] Took 0.103232 ms.
[frame_54.zeroDeg.bin] Took 0.103936 ms.
[frame_55.zeroDeg.bin] Took 0.102240 ms.
[frame_56.zeroDeg.bin] Took 0.102912 ms.
[frame_57.zeroDeg.bin] Took 0.100928 ms.
[frame_58.zeroDeg.bin] Took 0.103072 ms.
[frame_59.zeroDeg.bin] Took 0.104224 ms.
[frame_60.zeroDeg.bin] Took 0.104416 ms.
[frame_61.zeroDeg.bin] Took 0.102400 ms.
[frame_62.zeroDeg.bin] Took 0.126368 ms.
[frame_63.zeroDeg.bin] Took 0.105184 ms.
[frame_64.zeroDeg.bin] Took 0.115968 ms.
[frame_65.zeroDeg.bin] Took 0.100960 ms.
[frame_66.zeroDeg.bin] Took 0.101472 ms.
[frame_67.zeroDeg.bin] Took 0.100640 ms.
[frame_68.zeroDeg.bin] Took 0.100352 ms.
[frame_69.zeroDeg.bin] Took 0.099840 ms.
[frame_70.zeroDeg.bin] Took 0.100928 ms.
[frame_71.zeroDeg.bin] Took 0.100928 ms.
[frame_72.zeroDeg.bin] Took 0.101408 ms.
[frame_73.zeroDeg.bin] Took 0.100384 ms.
[frame_74.zeroDeg.bin] Took 0.102176 ms.
[frame_75.zeroDeg.bin] Took 0.101760 ms.
[frame_76.zeroDeg.bin] Took 0.101344 ms.
[frame_77.zeroDeg.bin] Took 0.150720 ms.
[frame_78.zeroDeg.bin] Took 0.101056 ms.
[frame_79.zeroDeg.bin] Took 0.112928 ms.
[frame_80.zeroDeg.bin] Took 0.100352 ms.
[frame_81.zeroDeg.bin] Took 0.101088 ms.
[frame_82.zeroDeg.bin] Took 0.101696 ms.
[frame_83.zeroDeg.bin] Took 0.101408 ms.
[frame_84.zeroDeg.bin] Took 0.100384 ms.
[frame_85.zeroDeg.bin] Took 0.100576 ms.
[frame_86.zeroDeg.bin] Took 0.101184 ms.
[frame_87.zeroDeg.bin] Took 0.100320 ms.
[frame_88.zeroDeg.bin] Took 0.100352 ms.
[frame_89.zeroDeg.bin] Took 0.101152 ms.
[frame_90.zeroDeg.bin] Took 0.112768 ms.
[frame_91.zeroDeg.bin] Took 0.101568 ms.
[frame_92.zeroDeg.bin] Took 0.098464 ms.
[frame_93.zeroDeg.bin] Took 0.101920 ms.
[frame_94.zeroDeg.bin] Took 0.100352 ms.
[frame_95.zeroDeg.bin] Took 0.101696 ms.
[frame_96.zeroDeg.bin] Took 0.102176 ms.
[frame_97.zeroDeg.bin] Took 0.101760 ms.
[frame_98.zeroDeg.bin] Took 0.100352 ms.
[frame_99.zeroDeg.bin] Took 0.100352 ms.
[frame_100.zeroDeg.bin] Took 0.100352 ms.
[frame_101.zeroDeg.bin] Took 0.101792 ms.
[frame_102.zeroDeg.bin] Took 0.100352 ms.
[frame_103.zeroDeg.bin] Took 0.100352 ms.
[frame_104.zeroDeg.bin] Took 0.101600 ms.
[frame_105.zeroDeg.bin] Took 0.100352 ms.
[frame_106.zeroDeg.bin] Took 0.100352 ms.
[frame_107.zeroDeg.bin] Took 0.102336 ms.
[frame_108.zeroDeg.bin] Took 0.100096 ms.
[frame_109.zeroDeg.bin] Took 0.100192 ms.
[frame_110.zeroDeg.bin] Took 0.100288 ms.
[frame_111.zeroDeg.bin] Took 0.104672 ms.
[frame_112.zeroDeg.bin] Took 0.104448 ms.
[frame_113.zeroDeg.bin] Took 0.103136 ms.
[frame_114.zeroDeg.bin] Took 0.104128 ms.
[frame_115.zeroDeg.bin] Took 0.102432 ms.
[frame_116.zeroDeg.bin] Took 0.112928 ms.
[frame_117.zeroDeg.bin] Took 0.102400 ms.
[frame_118.zeroDeg.bin] Took 0.110368 ms.
