
The following have been reloaded with a version change:
  1) gcc/.11.3.0_cuda => gcc/11.3.0

[frame_0.zeroDeg.bin] Took 1.626112 ms.
[frame_1.zeroDeg.bin] Took 0.958464 ms.
[frame_2.zeroDeg.bin] Took 1.235040 ms.
[frame_3.zeroDeg.bin] Took 1.558240 ms.
[frame_4.zeroDeg.bin] Took 1.050176 ms.
[frame_5.zeroDeg.bin] Took 1.009664 ms.
[frame_6.zeroDeg.bin] Took 0.500032 ms.
[frame_7.zeroDeg.bin] Took 0.158688 ms.
[frame_8.zeroDeg.bin] Took 0.156608 ms.
[frame_9.zeroDeg.bin] Took 0.160544 ms.
[frame_10.zeroDeg.bin] Took 0.149152 ms.
[frame_11.zeroDeg.bin] Took 0.151136 ms.
[frame_12.zeroDeg.bin] Took 0.156064 ms.
[frame_13.zeroDeg.bin] Took 0.161152 ms.
[frame_14.zeroDeg.bin] Took 0.691776 ms.
[frame_15.zeroDeg.bin] Took 0.151296 ms.
[frame_16.zeroDeg.bin] Took 0.149248 ms.
[frame_17.zeroDeg.bin] Took 0.507136 ms.
[frame_18.zeroDeg.bin] Took 0.151456 ms.
[frame_19.zeroDeg.bin] Took 0.148928 ms.
[frame_20.zeroDeg.bin] Took 0.466592 ms.
[frame_21.zeroDeg.bin] Took 0.150592 ms.
[frame_22.zeroDeg.bin] Took 0.149504 ms.
[frame_23.zeroDeg.bin] Took 0.507808 ms.
[frame_24.zeroDeg.bin] Took 0.149376 ms.
[frame_25.zeroDeg.bin] Took 0.146240 ms.
[frame_26.zeroDeg.bin] Took 0.497376 ms.
[frame_27.zeroDeg.bin] Took 0.141504 ms.
[frame_28.zeroDeg.bin] Took 0.079968 ms.
[frame_29.zeroDeg.bin] Took 0.078432 ms.
[frame_30.zeroDeg.bin] Took 0.088448 ms.
[frame_31.zeroDeg.bin] Took 0.078592 ms.
[frame_32.zeroDeg.bin] Took 0.110304 ms.
[frame_33.zeroDeg.bin] Took 0.110400 ms.
[frame_34.zeroDeg.bin] Took 0.079424 ms.
[frame_35.zeroDeg.bin] Took 0.077824 ms.
[frame_36.zeroDeg.bin] Took 0.077824 ms.
[frame_37.zeroDeg.bin] Took 0.077824 ms.
[frame_38.zeroDeg.bin] Took 0.078080 ms.
[frame_39.zeroDeg.bin] Took 0.076640 ms.
[frame_40.zeroDeg.bin] Took 0.077664 ms.
[frame_41.zeroDeg.bin] Took 0.078016 ms.
[frame_42.zeroDeg.bin] Took 0.079744 ms.
[frame_43.zeroDeg.bin] Took 0.076416 ms.
[frame_44.zeroDeg.bin] Took 0.108864 ms.
[frame_45.zeroDeg.bin] Took 0.076256 ms.
[frame_46.zeroDeg.bin] Took 0.108768 ms.
[frame_47.zeroDeg.bin] Took 0.091008 ms.
[frame_48.zeroDeg.bin] Took 0.108768 ms.
[frame_49.zeroDeg.bin] Took 0.075840 ms.
[frame_50.zeroDeg.bin] Took 0.111136 ms.
[frame_51.zeroDeg.bin] Took 0.106304 ms.
[frame_52.zeroDeg.bin] Took 0.115552 ms.
[frame_53.zeroDeg.bin] Took 0.112768 ms.
[frame_54.zeroDeg.bin] Took 0.108160 ms.
[frame_55.zeroDeg.bin] Took 0.107936 ms.
[frame_56.zeroDeg.bin] Took 0.107776 ms.
[frame_57.zeroDeg.bin] Took 0.117088 ms.
[frame_58.zeroDeg.bin] Took 0.076416 ms.
[frame_59.zeroDeg.bin] Took 0.106272 ms.
[frame_60.zeroDeg.bin] Took 0.106656 ms.
[frame_61.zeroDeg.bin] Took 0.107648 ms.
[frame_62.zeroDeg.bin] Took 0.109504 ms.
[frame_63.zeroDeg.bin] Took 0.107296 ms.
[frame_64.zeroDeg.bin] Took 0.106560 ms.
[frame_65.zeroDeg.bin] Took 0.106496 ms.
[frame_66.zeroDeg.bin] Took 0.107168 ms.
[frame_67.zeroDeg.bin] Took 0.106528 ms.
[frame_68.zeroDeg.bin] Took 0.106720 ms.
[frame_69.zeroDeg.bin] Took 0.107104 ms.
[frame_70.zeroDeg.bin] Took 0.107360 ms.
[frame_71.zeroDeg.bin] Took 0.110368 ms.
[frame_72.zeroDeg.bin] Took 0.108544 ms.
[frame_73.zeroDeg.bin] Took 0.106912 ms.
[frame_74.zeroDeg.bin] Took 0.106752 ms.
[frame_75.zeroDeg.bin] Took 0.106112 ms.
[frame_76.zeroDeg.bin] Took 0.106656 ms.
[frame_77.zeroDeg.bin] Took 0.077600 ms.
[frame_78.zeroDeg.bin] Took 0.107040 ms.
[frame_79.zeroDeg.bin] Took 0.106560 ms.
[frame_80.zeroDeg.bin] Took 0.107616 ms.
[frame_81.zeroDeg.bin] Took 0.105856 ms.
[frame_82.zeroDeg.bin] Took 0.075776 ms.
[frame_83.zeroDeg.bin] Took 0.078592 ms.
[frame_84.zeroDeg.bin] Took 0.076000 ms.
[frame_85.zeroDeg.bin] Took 0.107424 ms.
[frame_86.zeroDeg.bin] Took 0.077568 ms.
[frame_87.zeroDeg.bin] Took 0.106496 ms.
[frame_88.zeroDeg.bin] Took 0.076576 ms.
[frame_89.zeroDeg.bin] Took 0.078048 ms.
[frame_90.zeroDeg.bin] Took 0.108480 ms.
[frame_91.zeroDeg.bin] Took 0.106784 ms.
[frame_92.zeroDeg.bin] Took 0.107040 ms.
[frame_93.zeroDeg.bin] Took 0.083968 ms.
[frame_94.zeroDeg.bin] Took 0.108768 ms.
[frame_95.zeroDeg.bin] Took 0.106496 ms.
[frame_96.zeroDeg.bin] Took 0.076576 ms.
[frame_97.zeroDeg.bin] Took 0.107904 ms.
[frame_98.zeroDeg.bin] Took 0.106496 ms.
[frame_99.zeroDeg.bin] Took 0.086400 ms.
[frame_100.zeroDeg.bin] Took 0.106624 ms.
[frame_101.zeroDeg.bin] Took 0.107168 ms.
[frame_102.zeroDeg.bin] Took 0.106656 ms.
[frame_103.zeroDeg.bin] Took 0.110624 ms.
[frame_104.zeroDeg.bin] Took 0.114880 ms.
[frame_105.zeroDeg.bin] Took 0.112224 ms.
[frame_106.zeroDeg.bin] Took 0.108672 ms.
[frame_107.zeroDeg.bin] Took 0.107296 ms.
[frame_108.zeroDeg.bin] Took 0.108992 ms.
[frame_109.zeroDeg.bin] Took 0.118304 ms.
[frame_110.zeroDeg.bin] Took 0.106240 ms.
[frame_111.zeroDeg.bin] Took 0.076800 ms.
[frame_112.zeroDeg.bin] Took 0.107104 ms.
[frame_113.zeroDeg.bin] Took 0.106656 ms.
[frame_114.zeroDeg.bin] Took 0.106688 ms.
[frame_115.zeroDeg.bin] Took 0.107424 ms.
[frame_116.zeroDeg.bin] Took 0.106720 ms.
[frame_117.zeroDeg.bin] Took 0.106304 ms.
[frame_118.zeroDeg.bin] Took 0.106496 ms.
[frame_119.zeroDeg.bin] Took 0.105952 ms.
[frame_120.zeroDeg.bin] Took 0.108384 ms.
[frame_121.zeroDeg.bin] Took 0.106240 ms.
[frame_122.zeroDeg.bin] Took 0.106496 ms.
[frame_123.zeroDeg.bin] Took 0.076544 ms.
[frame_124.zeroDeg.bin] Took 0.106560 ms.
[frame_125.zeroDeg.bin] Took 0.076768 ms.
[frame_126.zeroDeg.bin] Took 0.112608 ms.
[frame_127.zeroDeg.bin] Took 0.106560 ms.
[frame_128.zeroDeg.bin] Took 0.107616 ms.
[frame_129.zeroDeg.bin] Took 0.106144 ms.
[frame_130.zeroDeg.bin] Took 0.117344 ms.
[frame_131.zeroDeg.bin] Took 0.077376 ms.
[frame_132.zeroDeg.bin] Took 0.107616 ms.
[frame_133.zeroDeg.bin] Took 0.107264 ms.
[frame_134.zeroDeg.bin] Took 0.108000 ms.
[frame_135.zeroDeg.bin] Took 0.117120 ms.
[frame_136.zeroDeg.bin] Took 0.106528 ms.
[frame_137.zeroDeg.bin] Took 0.076096 ms.
[frame_138.zeroDeg.bin] Took 0.108288 ms.
[frame_139.zeroDeg.bin] Took 0.106784 ms.
